Возраст;Работа;Семейный статус;Образование;Кредитный дефолт;Ипотека;Займ;Контакт;Месяц;День недели;Длительность;Кампания;День;Предыдущий контакт;Доходность;Колебание уровня безработицы;Индекс потребительских цен;Индекс потребительской уверенности;Европейская межбанковская ставка;Количество сотрудников в компании
36;Менеджер;Неизвестно;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Среда;529;1;999;0;Отсутствует;1.4;93.444;-36.1;4.965;5228.1
36;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;610;2;999;0;Отсутствует;1.4;93.444;-36.1;4.965;5228.1
36;Техник;Женат / замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Август;Понедельник;630;6;999;0;Отсутствует;1.4;93.444;-36.1;4.965;5228.1
51;Обслуживающий персонал;Женат / замужем;Высшая школа;Нет;Нет;Нет;Сотовый телефон;Август;Понедельник;72;3;999;0;Отсутствует;1.4;93.444;-36.1;4.965;5228.1
51;Домохозяйка;Женат / замужем;Базовое (4 класса);Неизвестно;Нет;Нет;Сотовый телефон;Август;Понедельник;80;7;999;0;Отсутствует;1.4;93.444;-36.1;4.965;5228.1
51;Менеджер;Женат / замужем;Университетская степень;Неизвестно;Да;Нет;Сотовый телефон;Август;Среда;96;1;999;0;Отсутствует;1.4;93.444;-36.1;4.965;5228.1
51;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Август;Вторник;179;11;999;0;Отсутствует;1.4;93.444;-36.1;4.965;5228.1
51;Голубой воротничок;Женат / замужем;Базовое (4 класса);Нет;Да;Нет;Сотовый телефон;Август;Понедельник;197;3;999;0;Отсутствует;1.4;93.444;-36.1;4.965;5228.1
30;Техник;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Городской телефон;Апрель;Среда;169;8;999;0;Отсутствует;-1.8;93.075;-47.1;1.372;5099.1
33;Менеджер;Не женат / не замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Апрель;Среда;507;3;999;0;Отсутствует;-1.8;93.075;-47.1;1.372;5099.1
33;Менеджер;Не женат / не замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Апрель;Среда;961;2;999;1;Не присутствует;-1.8;93.075;-47.1;1.372;5099.1
47;Обслуживающий персонал;Женат / замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Апрель;Среда;636;2;999;0;Отсутствует;-1.8;93.075;-47.1;1.372;5099.1
51;Голубой воротничок;Женат / замужем;Базовое (6 классов);Нет;Да;Нет;Сотовый телефон;Апрель;Среда;89;2;999;0;Отсутствует;-1.8;93.075;-47.1;1.372;5099.1
52;Менеджер;Разведен(-а);Профессиональный курс;Нет;Да;Нет;Сотовый телефон;Апрель;Среда;85;7;999;0;Отсутствует;-1.8;93.075;-47.1;1.372;5099.1
24;Студент;Не женат / не замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;88;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
24;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;103;3;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
24;Студент;Не женат / не замужем;Высшая школа;Нет;Нет;Да;Сотовый телефон;Апрель;Четверг;157;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
24;Техник;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;170;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
24;Техник;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;192;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
24;Студент;Не женат / не замужем;Высшая школа;Нет;Нет;Да;Сотовый телефон;Апрель;Четверг;209;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
25;Самозанятый;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;260;2;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
25;Неизвестно;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Городской телефон;Апрель;Четверг;712;2;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
26;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;239;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
27;Студент;Не женат / не замужем;Неизвестно;Неизвестно;Да;Нет;Сотовый телефон;Апрель;Четверг;35;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
27;Менеджер;Не женат / не замужем;Профессиональный курс;Нет;Да;Да;Городской телефон;Апрель;Четверг;117;3;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
27;Менеджер;Не женат / не замужем;Высшая школа;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;127;2;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
27;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;193;1;999;1;Не присутствует;-1.8;93.075;-47.1;1.365;5099.1
27;Голубой воротничок;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;246;2;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
27;Студент;Не женат / не замужем;Неизвестно;Неизвестно;Да;Нет;Сотовый телефон;Апрель;Четверг;458;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
27;Менеджер;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Апрель;Четверг;523;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
28;Менеджер;Женат / замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;63;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
28;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;249;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
28;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Апрель;Четверг;258;1;2;2;Присутствует;-1.8;93.075;-47.1;1.365;5099.1
28;Менеджер;Не женат / не замужем;Университетская степень;Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;280;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
28;Голубой воротничок;Не женат / не замужем;Базовое (9 классов);Нет;Да;Нет;Сотовый телефон;Апрель;Четверг;315;1;2;1;Присутствует;-1.8;93.075;-47.1;1.365;5099.1
28;Студент;Не женат / не замужем;Высшая школа;Нет;Нет;Нет;Сотовый телефон;Апрель;Четверг;319;3;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
30;Менеджер;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Апрель;Четверг;69;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
30;Менеджер;Женат / замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Апрель;Четверг;132;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
30;Студент;Не женат / не замужем;Высшая школа;Нет;Да;Нет;Городской телефон;Апрель;Четверг;136;2;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1
30;Студент;Не женат / не замужем;Университетская степень;Нет;Нет;Нет;Сотовый телефон;Апрель;Четверг;200;1;999;0;Отсутствует;-1.8;93.075;-47.1;1.365;5099.1