2020;1;1;-12;-3.5;2.5
2020;1;2;-3.8;-0.1;7.3
2020;1;3;-2.3;0.7;0.3
2020;1;4;-11.6;-1.6;0
2020;1;5;-11.8;-0.7;0.3
2020;1;6;-5.8;-0.8;0
2020;1;7;-9.5;-5.8;0.2
2020;1;8;-10.1;-8.1;1.2
2020;1;9;-17;-10.1;1.2
2020;1;10;-28.1;-15.2;0.3
2020;1;11;-27.8;-20.9;0
2020;1;12;-25.4;-15.7;0
2020;1;13;-21.8;-8;0.9
2020;1;14;-10.8;-7.6;0.8
2020;1;15;-11.1;-4.3;1.8
2020;1;16;-5.3;-3.4;3
2020;1;17;-9.1;-5.3;4.8
2020;1;18;-17.9;-3.1;3.4
2020;1;19;-21.2;-4.2;3
2020;1;20;-20.7;-4.4;0.4
2020;1;21;-29.3;-18.7;0
2020;1;22;-25.1;-12.8;0.4
2020;1;23;-12.8;-4.6;2
2020;1;24;-4.8;0.7;8.2
2020;1;25;-1.6;1.9;1
2020;1;26;-7.5;0;0.3
2020;1;27;-12.7;-4.4;0
2020;1;28;-4.4;-0.9;0.4
2020;1;29;-11.8;-3.7;0.5
2020;1;30;-22.1;-11.8;0.6
2020;1;31;-25.3;-18.2;0.7
2020;2;1;-29.5;-18.2;0
2020;2;2;-25.7;-12;0
2020;2;3;-25.7;-9.7;0
2020;2;4;-16.1;-2.2;2.7
2020;2;5;-6.6;-2.5;0.7
2020;2;6;-4.6;-0.2;0
2020;2;7;-5.2;0.8;2
2020;2;8;-4.3;4.1;5.9
2020;2;9;0.1;5.7;11.4
2020;2;10;-15.7;0.1;7.1
2020;2;11;-28.5;-15.7;0
2020;2;12;-22;-11.5;0
2020;2;13;-22.8;-1.1;0
2020;2;14;-20;-5.7;0
2020;2;15;-12.8;-4.9;0
2020;2;16;-19;-9.4;0
2020;2;17;-20;-4;0.6
2020;2;18;-9.8;-3.7;0
2020;2;19;-8.9;-5.3;3
2020;2;20;-5.6;-0.6;0.5
2020;2;21;-4.2;-1.2;2
2020;2;22;-6.8;-1.9;0
2020;2;23;-7.1;-0.6;0.2
2020;2;24;-15.9;-2.8;0
2020;2;25;-21.4;-9.3;0
2020;2;26;-20.6;-4.5;0.2
2020;2;27;-23.4;-4.8;0.3
2020;2;28;-5.5;1.7;2
2020;2;29;-3.6;1.7;2.3
2020;3;1;-1.1;2.1;0.3
2020;3;2;-14;2.8;0
2020;3;3;-4.2;1.3;0
2020;3;4;-4.5;-0.3;0
2020;3;5;-3.3;-0.1;2.8
2020;3;6;-16.5;-1.8;0.6
2020;3;7;-21;-11.2;0.3
2020;3;8;-19.4;-8.9;2.4
2020;3;9;-9;-3.7;1.1
2020;3;10;-5.7;-3.3;6.9
2020;3;11;-16.9;-3.1;0
2020;3;12;-9.9;-0.6;0
2020;3;13;-7.1;2.3;0
2020;3;14;-11.8;4.9;0
2020;3;15;1.5;6.2;0
2020;3;16;1.6;7;0
2020;3;17;-3.8;3.1;0
2020;3;18;-0.6;3;1.1
2020;3;19;-3;1.2;0.2
2020;3;20;-1.9;4;1.1
2020;3;21;0.4;4.5;0
2020;3;22;2.1;5.5;1
2020;3;23;-6.3;2.9;0.3
2020;3;24;-12.4;-6.1;0
2020;3;25;-16.2;-2.1;0
2020;3;26;-10.8;1;0
2020;3;27;-7.3;3.4;0
2020;3;28;-1.9;3.4;1.3
2020;3;29;-3.3;4.5;0
2020;3;30;-4.5;5.9;0
2020;3;31;-2.1;8.6;0
2020;4;1;-5.2;9.9;0
2020;4;2;-7.8;12.5;0
2020;4;3;5.3;11.2;0.4
2020;4;4;-6;7.6;0
2020;4;5;-4.5;12.6;0
2020;4;6;-5.2;13.8;0
2020;4;7;3;11.4;0
2020;4;8;0.1;8.6;0
2020;4;9;0.3;6.3;0
2020;4;10;-1.8;7;0
2020;4;11;-4.2;9.4;0
2020;4;12;-0.8;14.3;0
2020;4;13;-3;16;0
2020;4;14;1.8;15.1;0
2020;4;15;-1.3;17.1;0
2020;4;16;2.9;15.6;1.5
2020;4;17;-0.5;13.7;0
2020;4;18;-2;15.9;0
2020;4;19;-1.6;19.7;0
2020;4;20;-1.3;21.3;0
2020;4;21;-0.3;23.8;0
2020;4;22;1.2;25.5;0
2020;4;23;3.5;30.2;0
2020;4;24;14.4;28;0
2020;4;25;9.9;25.2;0
2020;4;26;1.9;15.6;1.8
2020;4;27;-1.5;20.9;0
2020;4;28;1;20.2;1.4
2020;4;29;8.2;29.5;0.8
2020;4;30;10.8;24.4;0
2020;5;1;7.1;22.3;2.7
2020;5;2;9.2;13.1;3.4
2020;5;3;-0.1;22;0
2020;5;4;3.3;21.2;9.3
2020;5;5;0.8;8.1;10.8
2020;5;6;0.3;11.9;0
2020;5;7;6.2;16.1;4.7
2020;5;8;-0.3;18.2;0
2020;5;9;1.1;23.9;0
2020;5;10;4.5;28.1;0
2020;5;11;6.5;29.3;0
2020;5;12;7.9;29.2;0
2020;5;13;8.6;28.7;0
2020;5;14;13.1;27.5;0
2020;5;15;0.3;23;0
2020;5;16;9.6;22.4;0
2020;5;17;8;27.3;0
2020;5;18;8.4;28.7;0
2020;5;19;11.6;28;0
2020;5;20;9.3;29.2;0
2020;5;21;14.1;22.4;0
2020;5;22;13.4;17.2;19.5
2020;5;23;11.4;20.9;3
2020;5;24;7.8;24;1.3
2020;5;25;9.8;23.7;0
2020;5;26;12.5;32.6;0
2020;5;27;5.9;29.9;0
2020;5;28;7;15.5;0
2020;5;29;2.1;19.8;0
2020;5;30;11.3;19.6;5.8
2020;5;31;9.2;16.5;6.6
2020;6;1;9.4;18.9;0
2020;6;2;10.6;23.4;5.6
2020;6;3;9.8;18.3;2.1
2020;6;4;4.3;16.3;0
2020;6;5;3.1;15.7;0.3
2020;6;6;3;18.1;0
2020;6;7;10.7;22.1;2.6
2020;6;8;4.3;21.3;0
2020;6;9;10;18;4.6
2020;6;10;9;16.6;0.8
2020;6;11;5.9;23.3;0
2020;6;12;13.2;27;0
2020;6;13;12.2;29.2;0
2020;6;14;15.7;26.9;0
2020;6;15;7.6;19.1;0
2020;6;16;3.9;19.3;0
2020;6;17;6.9;26;0
2020;6;18;8.7;24.6;0
2020;6;19;13.1;18.7;5.6
2020;6;20;4.5;15.2;0
2020;6;21;3.5;19.2;0
2020;6;22;5.1;24;0
2020;6;23;7.9;27.2;0
2020;6;24;13.3;28.6;0
2020;6;25;12.3;28.3;0
2020;6;26;9.4;30.4;0
2020;6;27;12.6;31.2;0
2020;6;28;15.6;30.6;0
2020;6;29;12;21.7;0
2020;6;30;12.3;28.1;0
2020;7;1;14.2;28.6;0
2020;7;2;18.8;30.6;0
2020;7;3;14.6;29.2;0
2020;7;4;15.5;28.1;0
2020;7;5;16;28.3;0
2020;7;6;13.2;27;9.7
2020;7;7;15.1;26.3;0
2020;7;8;12.4;27.9;0
2020;7;9;17.1;27;22.4
2020;7;10;14.6;23.4;86.3
2020;7;11;10.6;22.5;0
2020;7;12;11.4;25.6;0
2020;7;13;12.7;26.3;0
2020;7;14;17.5;26.6;0
2020;7;15;15.3;26.4;0
2020;7;16;8.9;25.3;0
2020;7;17;16.5;27.2;0
2020;7;18;11.3;26;0
2020;7;19;11;27.6;0
2020;7;20;12.3;27.1;0
2020;7;21;15.2;26.3;0
2020;7;22;14.3;22.2;0
2020;7;23;8.3;20.5;1.3
2020;7;24;5.8;23;0
2020;7;25;11.2;22.6;5
2020;7;26;15.1;21.1;4.9
2020;7;27;10.5;22.6;0
2020;7;28;10.4;20.5;9
2020;7;29;13.3;24;2.8
2020;7;30;15.1;21.7;4.1
2020;7;31;8.6;22.9;0
2020;8;1;13.8;25.8;0
2020;8;2;10.2;26.1;0
2020;8;3;13.3;27.8;0
2020;8;4;15.6;28.8;0
2020;8;5;14.7;27;0
2020;8;6;12;27;0.3
2020;8;7;13;24.6;3
2020;8;8;13.5;28.1;9.3
2020;8;9;13.9;29.8;0
2020;8;10;13.3;31.1;0
2020;8;11;12.9;30.8;0
2020;8;12;14.8;30;4
2020;8;13;14.3;29.8;0
2020;8;14;12.8;26.6;5
2020;8;15;13.9;21.8;0
2020;8;16;13.7;22.7;0
2020;8;17;12.8;27.7;0
2020;8;18;13.4;27.8;0
2020;8;19;11.3;25.4;0.4
2020;8;20;11.9;23.1;3.9
2020;8;21;6.8;23.8;1.6
2020;8;22;11.2;21.8;2.8
2020;8;23;9.8;21.3;0.5
2020;8;24;11.2;22.6;0
2020;8;25;8.1;22.1;0
2020;8;26;11;21.2;0
2020;8;27;13;19;10
2020;8;28;13.3;21.4;0
2020;8;29;7.5;23.4;0
2020;8;30;13.8;22.1;4.8
2020;8;31;11.8;23;0.3
2020;9;1;11;23;2.3
2020;9;2;12.2;20.7;0.3
2020;9;3;13.4;28.5;5
2020;9;4;10;24.3;0.1
2020;9;5;6;13.4;4.7
2020;9;6;7.8;13.6;1.1
2020;9;7;5.1;14.8;3.3
2020;9;8;5.1;12.8;3.2
2020;9;9;2.3;11.2;6
2020;9;10;7.8;12.6;0.4
2020;9;11;4.1;14.9;0
2020;9;12;1.3;17.9;0
2020;9;13;1.1;19.6;0
2020;9;14;1;20;0
2020;9;15;1.4;20.1;0
2020;9;16;4.6;21;0
2020;9;17;10.4;21.3;5.3
2020;9;18;8.5;18;2.6
2020;9;19;7.7;11.8;1.2
2020;9;20;7.9;20.7;0
2020;9;21;2.7;23.1;0
2020;9;22;6.7;17.7;0
2020;9;23;2.7;12.8;1.2
2020;9;24;4.3;11.5;2
2020;9;25;3.7;11.3;0.3
2020;9;26;6.2;8.3;8.1
2020;9;27;-0.1;11.7;0
2020;9;28;-0.2;13.3;0
2020;9;29;1.4;8.4;10.5
2020;9;30;-3.4;7.4;0
2020;10;1;2.4;6.3;0.8
2020;10;2;0.5;8.8;0
2020;10;3;0.9;12.2;0
2020;10;4;0.2;13.8;0
2020;10;5;1.6;10.4;1.1
2020;10;6;-2.1;2.7;0
2020;10;7;0.7;2.1;1.9
2020;10;8;-3.3;0.9;2.1
2020;10;9;-5.3;1.3;1.6
2020;10;10;-0.1;1.5;0.9
2020;10;11;0.6;3.4;0.8
2020;10;12;2.8;5.9;2.4
2020;10;13;4.6;8.6;9.1
2020;10;14;2.8;9.4;0
2020;10;15;5.9;11.6;0.4
2020;10;16;0.8;9.2;3.5
2020;10;17;2.2;15.9;0
2020;10;18;2.7;12.3;0
2020;10;19;-1.4;3.9;0.5
2020;10;20;0;4.1;2.9
2020;10;21;2.2;13.7;0
2020;10;22;4.5;14.1;0
2020;10;23;0;6.1;1.4
2020;10;24;-1.9;2.2;0.3
2020;10;25;-4.9;-0.8;0.9
2020;10;26;-2.7;4;5.6
2020;10;27;2.8;11.5;3.8
2020;10;28;1;11.1;0.5
2020;10;29;-5.6;2.3;1.1
2020;10;30;-7.4;1.5;4.9
2020;10;31;0.7;2.3;2.8
2020;11;1;0.3;2.9;0
2020;11;2;0.4;3.2;0.7
2020;11;3;-1.5;1.3;0
2020;11;4;-2.1;-1.2;0.4
2020;11;5;-2.3;1.7;4.7
2020;11;6;1.1;2;0.5
2020;11;7;0.6;4.8;0.9
2020;11;8;1.9;10.4;0
2020;11;9;4.2;10.7;0
2020;11;10;2.1;4.6;4.9
2020;11;11;0.6;4.2;0.7
2020;11;12;-1;5.5;1.9
2020;11;13;-5.7;1;3.5
2020;11;14;-10.6;-3;0
2020;11;15;-13.7;-2.5;0.2
2020;11;16;-9.7;-4.7;0
2020;11;17;-17.5;-9.7;0
2020;11;18;-13.6;-11.3;1.5
2020;11;19;-13.5;-10.8;3.8
2020;11;20;-10.8;-7.4;1.2
2020;11;21;-7.4;-3.6;2.5
2020;11;22;-9.6;-3.6;0
2020;11;23;-11.3;-4.2;0
2020;11;24;-8.4;-4.2;0
2020;11;25;-8.3;-6;0
2020;11;26;-18.3;-8.3;0
2020;11;27;-21.8;-13.4;0
2020;11;28;-25.8;-14.7;0
2020;11;29;-22.8;-14.4;0
2020;11;30;-22;-8.4;0.2
2020;12;1;-14.4;-9.1;0.3
2020;12;2;-16.2;-13.2;0.6
2020;12;3;-23.3;-15.7;0.2
2020;12;4;-21.8;-17;0.5
2020;12;5;-26;-19;0.2
2020;12;6;-25.1;-16.4;0
2020;12;7;-19.8;-13.2;0.2
2020;12;8;-13.8;-11.4;3.7
2020;12;9;-23.1;-11.9;1.3
2020;12;10;-28.1;-11.8;2.7
2020;12;11;-18.5;-9.6;2.8
2020;12;12;-17.9;-9.9;1.3
2020;12;13;-13.6;-10.1;0.5
2020;12;14;-12.3;-9.7;0.2
2020;12;15;-10;-7;2.8
2020;12;16;-16.1;-8.3;1.6
2020;12;17;-14.7;-8.1;2.8
2020;12;18;-9.8;-5.7;0.6
2020;12;19;-9;-4.2;0
2020;12;20;-13;-5.3;1.7
2020;12;21;-17;-6.9;2.2
2020;12;22;-16.3;-14.1;1
2020;12;23;-23.2;-12.6;4.1
2020;12;24;-12.6;-7.3;5.2
2020;12;25;-29.5;-6.5;2.1
2020;12;26;-39.2;-28.5;0
2020;12;27;-42.2;-38;0
2020;12;28;-45.4;-37.7;0
2020;12;29;-39.5;-27;0
2020;12;30;-27.1;-11.5;0.4
2020;12;31;-22.4;-11.2;1.2
